figure,analysis,group,term,estimate,ci_lo,ci_hi,p,p_adj,n,ci_level,seed
fig3/figS,bootstrap CI of mean test metric,LINCS,PC3 · test_pearson,0.1351580023765564,0.13319177504677862,0.1373417323107487,,,,95.0,0
fig3/figS,bootstrap CI of mean test metric,LINCS,UniMolv1-84M · test_pearson,0.11366058029014509,0.11194826163081543,0.11544794897448725,,,,95.0,0
fig3/figS,bootstrap CI of mean test metric,LINCS,UniMolv1-84M + dose (gate) · test_pearson,0.11366058029014509,0.11194826163081543,0.11544794897448725,,,,95.0,0
fig3/figS,bootstrap CI of mean test metric,LINCS,UniMolv2-1.1B · test_pearson,0.11626613306653326,0.11450882316158079,0.11813870060030016,,,,95.0,0
fig3/figS,bootstrap CI of mean test metric,LINCS,UniMolv2-1.1B + dose (concat) · test_pearson,0.08141600340604782,0.07969272512255138,0.0832367148606634,,,,95.0,0
fig3/figS,bootstrap CI of mean test metric,LINCS,UniMolv2-1.1B + dose (gate) · test_pearson,0.11626613306653326,0.11450882316158079,0.11813870060030016,,,,95.0,0
fig3/figS,bootstrap CI of mean test metric,LINCS,UniMolv2-1.1B + dose (onehot) · test_pearson,0.0764480009675026,0.07453356095141815,0.07823987163102983,,,,95.0,0
fig3/figS,bootstrap CI of mean test metric,LINCS,UniMolv2-164M · test_pearson,0.11389969984992496,0.11213880065032517,0.11580395822911456,,,,95.0,0
fig3/figS,bootstrap CI of mean test metric,LINCS,UniMolv2-164M + dose (gate) · test_pearson,0.11389969984992496,0.11213880065032517,0.11580395822911456,,,,95.0,0
fig3/figS,bootstrap CI of mean test metric,LINCS,UniMolv2-310M · test_pearson,0.12094147073536768,0.11908287893946973,0.12293281640820411,,,,95.0,0
fig3/figS,bootstrap CI of mean test metric,LINCS,UniMolv2-310M + dose (gate) · test_pearson,0.12094147073536768,0.11908287893946973,0.12293281640820411,,,,95.0,0
fig3/figS,bootstrap CI of mean test metric,LINCS,UniMolv2-570M · test_pearson,0.11563931965982992,0.11379449099549775,0.11759248374187094,,,,95.0,0
fig3/figS,bootstrap CI of mean test metric,LINCS,UniMolv2-570M + dose (gate) · test_pearson,0.11563931965982992,0.11379449099549775,0.11759248374187094,,,,95.0,0
