dataset,category,label,exp_key,metric,estimate,ci_lo,ci_hi
LINCS,embedding,ChemBERTa-100M-MLM,lincs_ChemBERTa-100M-MLM_dose_gate,test_spearman,0.11287343671835919,0.11103826913456728,0.11485882316158079
LINCS,dose_encoding,ChemBERTa-100M-MLM + dose (gate),lincs_ChemBERTa-100M-MLM_dose_gate,test_spearman,0.11287343671835919,0.11103826913456728,0.11485882316158079
LINCS,embedding,ChemBERTa-5M-MLM,lincs_ChemBERTa-5M-MLM_dose_gate,test_spearman,0.11039444722361182,0.108681471985993,0.11220215107553776
LINCS,dose_encoding,ChemBERTa-5M-MLM + dose (gate),lincs_ChemBERTa-5M-MLM_dose_gate,test_spearman,0.11039444722361182,0.108681471985993,0.11220215107553776
LINCS,embedding,ChemBERTa-5M-MTR,lincs_ChemBERTa-5M-MTR_dose_gate,test_spearman,0.12490995497748873,0.12310550275137569,0.12683334167083543
LINCS,dose_encoding,ChemBERTa-5M-MTR + dose (gate),lincs_ChemBERTa-5M-MTR_dose_gate,test_spearman,0.12490995497748873,0.12310550275137569,0.12683334167083543
LINCS,embedding,ChemBERTa-77M-MLM,lincs_ChemBERTa-77M-MLM_dose_gate,test_spearman,0.12249649824912456,0.12071681465732867,0.12437621935967982
LINCS,dose_encoding,ChemBERTa-77M-MLM + dose (gate),lincs_ChemBERTa-77M-MLM_dose_gate,test_spearman,0.12249649824912456,0.12071681465732867,0.12437621935967982
LINCS,ref_cell,MCF7,lincs_MCF7,test_spearman,0.14655,0.14402977370143338,0.14882690003226254
LINCS,embedding,MoLFormer-XL,lincs_MoLFormer-XL-both-10pct_dose_gate,test_spearman,0.11499374687343673,0.11309424712356178,0.11691536393196597
LINCS,dose_encoding,MoLFormer-XL + dose (gate),lincs_MoLFormer-XL-both-10pct_dose_gate,test_spearman,0.11499374687343673,0.11309424712356178,0.11691536393196597
LINCS,embedding,MolGen-large,lincs_MolGen-large_dose_gate,test_spearman,0.11417633816908455,0.11245861680840422,0.11601137443721861
LINCS,dose_encoding,MolGen-large + dose (gate),lincs_MolGen-large_dose_gate,test_spearman,0.11417633816908455,0.11245861680840422,0.11601137443721861
LINCS,embedding,Morgan_1024,lincs_Morgan_1024_dose_gate,test_spearman,0.1199629814907454,0.11815537143571785,0.12178860055027514
