lincs_position,gene_id,gene_symbol,ensembl_id
389,6194,RPS6,ENSG00000137154
390,6195,RPS6KA1,ENSG00000117676
391,6251,RSU1,ENSG00000148484
392,6253,RTN2,ENSG00000125744
393,6275,S100A4,ENSG00000196154
394,6284,S100A13,ENSG00000189171
395,6304,SATB1,ENSG00000182568
396,6342,SCP2,ENSG00000116171
397,6347,CCL2,ENSG00000108691
398,6390,SDHB,ENSG00000117118
399,6443,SGCB,ENSG00000163069
400,6461,SHB,ENSG00000107338
401,6464,SHC1,ENSG00000160691
402,6499,SKIV2L,ENSG00000204351
403,6500,SKP1,ENSG00000113558
404,6509,SLC1A4,ENSG00000115902
405,6597,SMARCA4,ENSG00000127616
406,6599,SMARCC1,ENSG00000173473
407,6603,SMARCD2,ENSG00000108604
408,6616,SNAP25,ENSG00000132639
409,6622,SNCA,ENSG00000145335
410,6657,SOX2,ENSG00000181449
411,6659,SOX4,ENSG00000124766
412,6676,SPAG4,ENSG00000061656
413,6696,SPP1,ENSG00000118785
414,6697,SPR,ENSG00000116096
415,6709,SPTAN1,ENSG00000197694
416,6714,SRC,ENSG00000197122
417,6772,STAT1,ENSG00000115415
418,6774,STAT3,ENSG00000168610
419,6777,STAT5B,ENSG00000173757
420,6790,AURKA,ENSG00000087586
421,6793,STK10,ENSG00000072786
422,6804,STX1A,ENSG00000106089
423,6810,STX4,ENSG00000103496
424,6812,STXBP1,ENSG00000136854
425,6813,STXBP2,ENSG00000076944
426,6832,SUPV3L1,ENSG00000156502
427,6839,SUV39H1,ENSG00000101945
428,6850,SYK,ENSG00000165025
429,6856,SYPL1,ENSG00000008282
430,6894,TARBP1,ENSG00000059588
431,6908,TBP,ENSG00000112592
432,6909,TBX2,ENSG00000121068
433,6915,TBXA2R,ENSG00000006638
434,6919,TCEA2,ENSG00000171703
435,6944,VPS72,ENSG00000163159
436,6988,TCTA,ENSG00000145022
437,6990,DYNLT3,ENSG00000165169
438,7015,TERT,ENSG00000164362
439,7016,TESK1,ENSG00000107140
440,7020,TFAP2A,ENSG00000137203
441,7027,TFDP1,ENSG00000198176
442,7043,TGFB3,ENSG00000119699
443,7048,TGFBR2,ENSG00000163513
444,7074,TIAM1,ENSG00000156299
445,7077,TIMP2,ENSG00000035862
446,7082,TJP1,ENSG00000104067
447,7088,TLE1,ENSG00000196781
448,7099,TLR4,ENSG00000136869
449,7105,TSPAN6,ENSG00000000003
450,7106,TSPAN4,ENSG00000214063
451,7153,TOP2A,ENSG00000131747
452,7157,TP53,ENSG00000141510
453,7158,TP53BP1,ENSG00000067369
454,7159,TP53BP2,ENSG00000143514
455,7165,TPD52L2,ENSG00000101150
456,7168,TPM1,ENSG00000140416
457,7264,TSTA3,ENSG00000104522
458,7296,TXNRD1,ENSG00000198431
459,7319,UBE2A,ENSG00000077721
460,7358,UGDH,ENSG00000109814
461,7376,NR1H2,ENSG00000131408
462,7398,USP1,ENSG00000162607
463,7416,VDAC1,ENSG00000213585
464,7466,WFS1,ENSG00000109501
465,7485,WRB,ENSG00000182093
466,7494,XBP1,ENSG00000100219
467,7511,XPNPEP1,ENSG00000108039
468,7538,ZFP36,ENSG00000128016
469,7690,ZNF131,ENSG00000172262
470,7750,ZMYM2,ENSG00000121741
471,7849,PAX8,ENSG00000125618
472,7852,CXCR4,ENSG00000121966
473,7866,IFRD2,ENSG00000214706
474,7867,MAPKAPK3,ENSG00000114738
475,7874,USP7,ENSG00000187555
476,7905,REEP5,ENSG00000129625
477,7982,ST7,ENSG00000004866
478,7994,KAT6A,ENSG00000083168
479,8050,PDHX,ENSG00000110435
480,8061,FOSL1,ENSG00000175592
481,8091,HMGA2,ENSG00000149948
482,8202,NCOA3,ENSG00000124151
483,8204,NRIP1,ENSG00000180530
484,8243,SMC1A,ENSG00000072501
485,8270,LAGE3,ENSG00000196976
486,8312,AXIN1,ENSG00000103126
487,8318,CDC45,ENSG00000093009
488,8321,FZD1,ENSG00000157240
489,8324,FZD7,ENSG00000155760
490,8349,HIST2H2BE,ENSG00000184678
491,8396,PIP4K2B,ENSG00000276293
492,8440,NCK2,ENSG00000071051
493,8444,DYRK3,ENSG00000143479
494,8446,DUSP11,ENSG00000144048
495,8480,RAE1,ENSG00000101146
496,8503,PIK3R3,ENSG00000117461
497,8508,NIPSNAP1,ENSG00000184117
498,8518,ELP1,ENSG00000070061
499,8520,HAT1,ENSG00000128708
500,8550,MAPKAPK5,ENSG00000089022
501,8553,BHLHE40,ENSG00000134107
502,8569,MKNK1,ENSG00000079277
503,8573,CASK,ENSG00000147044
504,8574,AKR7A2,ENSG00000053371
505,8607,RUVBL1,ENSG00000175792
506,8624,PSMG1,ENSG00000183527
507,8678,BECN1,ENSG00000126581
508,8720,MBTPS1,ENSG00000140943
509,8726,EED,ENSG00000074266
510,8727,CTNNAL1,ENSG00000119326
511,8731,RNMT,ENSG00000101654
512,8800,PEX11A,ENSG00000166821
513,8804,CREG1,ENSG00000143162
514,8821,INPP4B,ENSG00000109452
515,8826,IQGAP1,ENSG00000140575
516,8835,SOCS2,ENSG00000120833
517,8837,CFLAR,ENSG00000003402
518,8851,CDK5R1,ENSG00000176749
519,8869,ST3GAL5,ENSG00000115525
520,8870,IER3,ENSG00000137331
521,8878,SQSTM1,ENSG00000161011
522,8884,SLC5A6,ENSG00000138074
523,8895,CPNE3,ENSG00000085719
524,8900,CCNA1,ENSG00000133101
525,8914,TIMELESS,ENSG00000111602
526,8974,P4HA2,ENSG00000072682
527,8985,PLOD3,ENSG00000106397
528,8996,NOL3,ENSG00000140939
529,9016,SLC25A14,ENSG00000102078
530,9019,MPZL1,ENSG00000197965
531,9053,MAP7,ENSG00000135525
532,9093,DNAJA3,ENSG00000103423
533,9097,USP14,ENSG00000101557
534,9112,MTA1,ENSG00000182979
535,9124,PDLIM1,ENSG00000107438
536,9126,SMC3,ENSG00000108055
537,9128,PRPF4,ENSG00000136875
538,9133,CCNB2,ENSG00000157456
539,9134,CCNE2,ENSG00000175305
540,9143,SYNGR3,ENSG00000127561
541,9170,LPAR2,ENSG00000064547
542,9181,ARHGEF2,ENSG00000116584
543,9183,ZW10,ENSG00000086827
544,9212,AURKB,ENSG00000178999
545,9217,VAPB,ENSG00000124164
546,9221,NOLC1,ENSG00000166197
547,9246,UBE2L6,ENSG00000156587
548,9261,MAPKAPK2,ENSG00000162889
549,9267,CYTH1,ENSG00000108669
550,9270,ITGB1BP1,ENSG00000119185
551,9275,BCL7B,ENSG00000106635
552,9276,COPB2,ENSG00000184432
553,9289,ADGRG1,ENSG00000205336
554,9375,TM9SF2,ENSG00000125304
555,9448,MAP4K4,ENSG00000071054
556,9455,HOMER2,ENSG00000103942
557,9467,SH3BP5,ENSG00000131370
558,9488,PIGB,ENSG00000069943
559,9491,PSMF1,ENSG00000125818
560,9517,SPTLC2,ENSG00000100596
561,9519,TBPL1,ENSG00000028839
562,9531,BAG3,ENSG00000151929
563,9533,POLR1C,ENSG00000171453
564,9552,SPAG7,ENSG00000091640
565,9637,FEZ2,ENSG00000171055
566,9641,IKBKE,ENSG00000263528
567,9650,MTFR1,ENSG00000066855
568,9653,HS2ST1,ENSG00000153936
