gene_symbol,ensembl_id,token_id
EFCAB14,ENSG00000159658,10369
CALM3,ENSG00000160014,10404
DFFA,ENSG00000160049,10405
NR2F6,ENSG00000160113,10417
RRP1B,ENSG00000160208,10440
RALGDS,ENSG00000160271,10456
SLC2A6,ENSG00000160326,10471
SHC1,ENSG00000160691,10510
ANO10,ENSG00000160746,10518
FGFR4,ENSG00000160867,10538
CPSF4,ENSG00000160917,10547
VPS28,ENSG00000160948,10549
SQSTM1,ENSG00000161011,10564
ABCF3,ENSG00000161204,10583
BDH1,ENSG00000161267,10588
CCNF,ENSG00000162063,10668
AMDHD2,ENSG00000162066,10670
KLHL21,ENSG00000162413,10720
USP1,ENSG00000162607,10766
SNX7,ENSG00000162627,10775
AGL,ENSG00000162688,10792
DENND2D,ENSG00000162777,10825
MAPKAPK2,ENSG00000162889,10849
COQ8A,ENSG00000163050,10896
SGCB,ENSG00000163069,10900
VPS72,ENSG00000163159,10927
TGFBR2,ENSG00000163513,11022
GTPBP8,ENSG00000163607,11059
TIPARP,ENSG00000163659,11083
ABHD6,ENSG00000163686,11092
APBB2,ENSG00000163697,11096
TOPBP1,ENSG00000163781,11119
RPN1,ENSG00000163902,11162
RPL39L,ENSG00000163923,11169
PRKCD,ENSG00000163932,11172
LRPAP1,ENSG00000163956,11181
CDC25A,ENSG00000164045,11206
ZNF589,ENSG00000164048,11208
LSM6,ENSG00000164167,11265
SLC25A46,ENSG00000164209,11281
CASP3,ENSG00000164305,11309
TERT,ENSG00000164362,11329
SLC35A1,ENSG00000164414,11344
GPER1,ENSG00000164850,11450
NOS3,ENSG00000164867,11453
ALDH7A1,ENSG00000164904,11466
WASHC5,ENSG00000164961,11484
PSIP1,ENSG00000164985,11492
SYK,ENSG00000165025,11496
NFIL3,ENSG00000165030,11499
DYNLT3,ENSG00000165169,11531
MELK,ENSG00000165304,11565
KLHDC2,ENSG00000165516,11611
HPRT1,ENSG00000165704,11661
CASP7,ENSG00000165806,11682
PACSIN3,ENSG00000165912,11705
HTRA1,ENSG00000166033,11737
CEP57,ENSG00000166037,11739
NOLC1,ENSG00000166197,11782
FRS2,ENSG00000166225,11789
PCBD1,ENSG00000166228,11791
ILK,ENSG00000166333,11816
ATMIN,ENSG00000166454,11856
HDGFL3,ENSG00000166503,11868
BLCAP,ENSG00000166619,11897
PEX11A,ENSG00000166821,11935
TERF2IP,ENSG00000166848,11946
PLK1,ENSG00000166851,11947
CLPX,ENSG00000166855,11948
SMAD3,ENSG00000166949,11982
PRR15L,ENSG00000167183,12034
CRK,ENSG00000167193,12037
GLOD4,ENSG00000167699,12159
CD320,ENSG00000167775,12189
KCTD5,ENSG00000167977,12235
RAB4A,ENSG00000168118,12278
MAPK1IP1L,ENSG00000168175,12293
DDIT4,ENSG00000168209,12294
NT5DC2,ENSG00000168268,12309
KIF5C,ENSG00000168280,12313
THAP11,ENSG00000168286,12316
COG7,ENSG00000168434,12351
RAB31,ENSG00000168461,12357
STAT3,ENSG00000168610,12390
PKIG,ENSG00000168734,12413
MAT2A,ENSG00000168906,12457
PPIC,ENSG00000168938,12468
ATF5,ENSG00000169136,12515
ADRB2,ENSG00000169252,12551
PTK2,ENSG00000169398,12579
CLIC4,ENSG00000169504,12600
