exp_key,dataset,category,label,n_train,train_pearson,val_pearson,test_pearson,train_spearman,val_spearman,test_spearman,test_l2,test_cosine_sim,test_pearson_lo,test_pearson_hi,test_spearman_lo,test_spearman_hi,test_l2_lo,test_l2_hi,test_cosine_sim_lo,test_cosine_sim_hi
tahoe_CheMeleon_dose_onehot,Tahoe,dose_encoding,CheMeleon + dose (onehot),39709.0,0.45212799310684204,0.35939300060272217,0.4401629865169525,0.336647,0.265435,0.323385,7.88886022567749,0.43992099165916443,0.436092989571263,0.44432432084459894,0.32030735805330246,0.32641309385863265,7.82007544740569,7.960564632419209,0.4358908201364748,0.4440897386378267
tahoe_ChemBERTa-100M-MLM_dose_gate,Tahoe,dose_encoding,ChemBERTa-100M-MLM + dose (gate),39709.0,0.4410730004310608,0.3644689917564392,0.4416685979142526,0.331247,0.269706,0.32748551564310546,7.887490665636668,0.44145616067979915,0.4375626046092443,0.44560341830822714,0.3244782734646582,0.33038673232908455,7.8185342152697315,7.957871121411098,0.4373858632676709,0.4454040491824385
tahoe_ChemBERTa-5M-MLM_dose_gate,Tahoe,dose_encoding,ChemBERTa-5M-MLM + dose (gate),39709.0,0.44533398747444153,0.3598040044307709,0.4345860692674134,0.335303,0.269466,0.32273850907686363,7.935607055491181,0.43433114458606925,0.4302043903695121,0.438282831208961,0.3196315179606026,0.32551882966396295,7.8681917085103645,8.004735901892621,0.42993691257885924,0.43804673619157974
tahoe_ChemBERTa-5M-MTR_dose_gate,Tahoe,dose_encoding,ChemBERTa-5M-MTR + dose (gate),39709.0,0.45269298553466797,0.36404499411582947,0.4468997038753702,0.344355,0.275598,0.3328775589030514,7.899017638727951,0.446396292004635,0.4427833462083172,0.4508498776876529,0.3298023689970388,0.3359469872537659,7.833686172267285,7.967299311188362,0.44232232522209347,0.4503611432985709
tahoe_ChemBERTa-77M-MLM_dose_gate,Tahoe,dose_encoding,ChemBERTa-77M-MLM + dose (gate),39709.0,0.46136200428009033,0.3707509934902191,0.4506051242435947,0.354451,0.283593,0.34133771082786146,7.845664992918759,0.45034762456546934,0.44664963950045067,0.4544592828633965,0.33842120509849366,0.344179251963435,7.780450012874985,7.911246234067208,0.44641425260718426,0.45419981975022533
tahoe_MoLFormer-XL-both-10pct_dose_gate,Tahoe,dose_encoding,MoLFormer-XL + dose (gate),39709.0,0.4436059892177582,0.3637099862098694,0.4484807518990601,0.333835,0.270064,0.33215784730269093,7.858587614265482,0.44812282734646586,0.44452645809192737,0.4525402665121669,0.32915060512424354,0.3351837582078022,7.791904177932278,7.927112205484743,0.4441454229432213,0.4521816982103773
tahoe_MolGen-large_dose_gate,Tahoe,dose_encoding,MolGen-large + dose (gate),39709.0,0.4572960138320923,0.3599430024623871,0.4377932277584653,0.346014,0.26713,0.32448950688811645,7.903867645165444,0.4374147032316209,0.43354535213080986,0.4418834492081885,0.3214177932277585,0.3274340478949401,7.838228402214496,7.967786114329857,0.4331555619930475,0.4415595468005665
tahoe_Morgan_1024_dose_concat,Tahoe,dose_encoding,Morgan_1024 + dose (concat),39709.0,0.5232359766960144,0.3700830042362213,0.4370169937610626,0.391252,0.277961,0.322136,7.92437219619751,0.4366700053215027,0.4329713209733488,0.4410166731041586,0.3194033732457835,0.32498963563795547,7.85318276039655,7.997334588644264,0.4325280674649157,0.44062572421784474
tahoe_Morgan_1024_dose_gate,Tahoe,dose_encoding,Morgan_1024 + dose (gate),39709.0,0.4783790111541748,0.37484800815582275,0.4424552594309257,0.360586,0.283219,0.3306038367452041,7.8773760782799025,0.4421578473026909,0.43779802368997034,0.44649246813441484,0.32735354705806613,0.33350386249517183,7.808127301403372,7.9475522402472,0.4375178318527102,0.4462499678125402
tahoe_Morgan_1024_dose_onehot,Tahoe,dose_encoding,Morgan_1024 + dose (onehot),39709.0,0.5019969940185547,0.3740079998970032,0.45017099380493164,0.379088,0.281751,0.334802,7.836585998535156,0.44982999563217163,0.4462119544225569,0.45405893523883095,0.3319755375305781,0.3376929638212952,7.767411548860564,7.909964175357281,0.4458102871121411,0.45365160293549633
tahoe_Morgan_2048_dose_gate,Tahoe,dose_encoding,Morgan_2048 + dose (gate),39709.0,0.5159760117530823,0.36822500824928284,0.44088579889275137,0.392229,0.278004,0.33013261233423463,7.925197631002961,0.44065147418565725,0.4366081820522725,0.4448996395004506,0.3269608278614652,0.3329168919788851,7.85556041586198,7.992157428865713,0.43634617612977983,0.4446663769795287
